,age,height,weight,B,W,H,type
兵藤レナ,27,167,48,92,56,84,imas
道明寺歌鈴,17,155,43,80,57,83,imas
柳清良,23,158,47,85,58,86,imas
井村雪菜,17,163,48,85,60,88,imas
日下部若葉,20,148,40,77,54,78,imas
榊原里美,17,162,46,91,56,86,imas
輿水幸子,14,142,37,74,52,75,imas
安斎都,16,156,41,78,55,77,imas
浅野風香,16,160,48,88,59,84,imas
大西由里子,20,156,44,81,58,83,imas
安部菜々,17,146,40,84,57,84,imas
工藤忍,16,154,41,78,54,81,imas
栗原ネネ,15,161,44,77,54,78,imas
古賀小春,12,140,35,72,54,77,imas
クラリス,20,166,45,80,55,82,imas
佐久間まゆ,16,153,40,78,54,80,imas
村松さくら,15,145,38,75,55,77,imas
丹羽仁美,18,157,43,81,55,79,imas
原田美世,20,163,46,86,59,85,imas
池袋晶葉,14,148,39,75,53,74,imas
如月千早,16,162,41,72,55,78,imas
三浦あずさ,21,168,48,91,59,86,imas
秋月律子,19,156,43,85,57,85,imas
四条貴音,18,169,49,90,62,92,imas
渋谷凛,15,165,44,80,56,81,imas
黒川千秋,20,163,45,86,57,86,imas
松本沙理奈,22,165,48,92,58,85,imas
桐野アヤ,19,160,43,86,56,86,imas
高橋礼子,31,167,51,91,62,90,imas
相川千夏,23,161,43,82,56,85,imas
川島瑞樹,28,159,44,87,57,85,imas
神谷奈緒,17,154,44,83,58,81,imas
上条春菜,18,156,42,79,56,80,imas
荒木比奈,20,157,43,83,57,82,imas
東郷あい,23,167,45,82,57,83,imas
多田李衣菜,17,152,41,80,55,81,imas
水木聖來,23,155,43,82,55,80,imas
佐々木千枝,11,139,33,73,49,73,imas
三船美優,26,165,46,85,60,85,imas
服部瞳子,25,169,48,78,57,80,imas
木場真奈美,25,172,50,88,60,89,imas
藤原肇,16,161,43,80,55,84,imas
新田美波,19,165,45,82,55,85,imas
水野翠,18,164,47,80,54,81,imas
橘ありす,12,141,34,68,52,67,imas
ヘレン,24,158,46,90,58,81,imas
松永涼,18,160,47,90,56,86,imas
小室千奈美,19,164,45,84,56,82,imas
高峯のあ,24,168,48,87,55,86,imas
高垣楓,25,171,49,81,57,83,imas
神崎蘭子,14,156,41,81,57,80,imas
伊集院惠,21,160,44,86,56,81,imas
柊志乃,31,167,43,84,54,83,imas
北条加蓮,16,155,42,83,55,81,imas
ケイト,20,157,45,83,59,85,imas
瀬名詩織,19,165,48,85,58,83,imas
綾瀬穂乃香,17,161,46,85,57,84,imas
佐城雪美,10,137,30,63,47,65,imas
篠原礼,27,171,49,93,58,88,imas
和久井留美,26,168,49,81,60,86,imas
吉岡沙紀,17,166,43,86,60,85,imas
梅木音葉,19,172,49,86,58,85,imas
白坂小梅,13,142,34,65,50,70,imas
岸部彩華,19,162,46,89,59,85,imas
氏家むつみ,13,152,42,78,57,80,imas
西川保奈美,16,155,55,88,60,86,imas
成宮由愛,13,150,40,72,51,73,imas
藤居朋,19,163,45,78,57,83,imas
塩見周子,18,163,45,82,56,81,imas
脇山珠美,16,145,38,72,53,75,imas
岡崎泰葉,16,153,43,79,55,80,imas
速水奏,17,162,43,86,55,84,imas
大石泉,15,157,41,83,55,82,imas
松尾千鶴,15,161,45,78,54,81,imas
森久保乃々,14,149,38,73,55,76,imas
古澤頼子,17,165,45,80,59,83,imas
望月聖,13,150,37,82,56,86,imas
鷹富士茄子,20,160,43,88,57,88,imas
萩原雪歩,17,155,42,81,56,81,imas
双海亜美,13,158,42,78,55,77,imas
双海真美,13,158,42,78,55,77,imas
星井美希,15,161,45,86,55,83,imas
水瀬伊織,15,153,40,77,54,79,imas
本田未央,15,161,46,84,58,87,imas
高森藍子,16,155,42,74,60,79,imas
並木芽衣子,22,160,44,80,57,82,imas
龍崎薫,9,132,32,65,51,70,imas
木村夏樹,18,159,41,82,57,83,imas
松山久美子,21,161,44,81,56,81,imas
斉藤洋子,20,157,46,85,57,82,imas
沢田麻里菜,26,166,47,87,57,87,imas
矢口美羽,14,150,41,81,56,80,imas
赤城みりあ,11,140,36,75,55,78,imas
愛野渚,18,163,47,84,58,85,imas
真鍋いつき,22,165,46,85,57,83,imas
大槻唯,17,155,42,84,56,83,imas
姫川友紀,20,161,44,80,57,80,imas
喜多見柚,15,156,43,82,57,82,imas
上田鈴帆,14,158,42,76,55,79,imas
海老原菜帆,17,162,58,92,65,93,imas
及川雫,16,170,56,105,64,92,imas
小関麗奈,13,148,41,75,50,77,imas
衛藤美紗希,22,160,45,84,56,80,imas
星輝子,15,142,35,73,53,75,imas
片桐早苗,28,152,47,92,58,84,imas
相葉夕美,18,158,42,81,57,80,imas
野々村そら,15,157,46,84,57,85,imas
浜川愛結奈,22,168,50,92,58,85,imas
若林智香,17,156,45,82,57,83,imas
城ヶ崎美嘉,17,162,43,80,56,82,imas
城ヶ崎莉嘉,12,149,36,72,54,75,imas
仙崎恵磨,21,156,45,81,55,81,imas
日野茜,17,148,40,80,60,82,imas
諸星きらり,17,182,60,91,64,86,imas
十時愛梨,18,161,46,86,58,88,imas
ナターリア,14,155,43,84,55,86,imas
相馬夏美,25,160,46,83,60,89,imas
槙原志保,19,162,46,86,57,91,imas
向井拓海,18,163,53,95,60,87,imas
市原仁奈,9,128,29,61,57,67,imas
杉坂海,18,162,45,88,58,86,imas
喜多日菜子,15,151,38,78,56,78,imas
北川真尋,17,158,43,75,57,79,imas
メアリー・コクラン,11,150,40,83,58,87,imas
小松伊吹,19,165,48,85,59,88,imas
三好紗南,14,149,39,75,56,80,imas
キャシー・グラハム,15,168,49,83,56,85,imas
難波笑美,17,158,45,82,56,80,imas
浜口あやめ,15,154,42,78,55,80,imas
村上巴,13,146,37,74,53,76,imas
土屋亜子,15,156,42,85,54,83,imas
首藤葵,13,145,39,73,53,75,imas
南条光,14,140,41,79,58,80,imas
イヴ・サンタクロース,19,165,44,81,56,80,imas
ルーキートレーナー,19,157,45,77,56,82,imas
トレーナー,23,160,45,84,56,85,imas
ベテラントレーナー,26,163,45,83,56,84,imas
マスタートレーナー,28,166,45,82,56,83,imas
浅利七海,14,151,41,78,55,77,imas
アナスタシア,15,165,43,80,54,80,imas
有浦柑奈,19,155,44,78,57,80,imas
一ノ瀬志希,18,161,43,83,57,82,imas
大原みちる,15,153,40,78,55,80,imas
乙倉悠貴,13,164,40,70,53,74,imas
桐生つかさ,18,164,45,83,55,82,imas
冴島清美,15,153,43,76,58,78,imas
鷺沢文香,19,162,45,84,54,81,imas
沢田麻理菜,26,166,47,87,57,87,imas
財前時子,21,168,46,83,55,85,imas
白菊ほたる,13,156,42,77,53,76,imas
西島櫂,19,172,49,86,59,83,imas
二宮飛鳥,14,154,42,75,55,78,imas
早坂美玲,14,147,39,75,54,77,imas
藤本里奈,18,154,41,77,55,80,imas
堀裕子,16,157,44,81,58,80,imas
的場梨沙,12,143,38,71,58,73,imas
棟方愛海,14,151,41,73,56,75,imas
八神マキノ,18,160,45,85,56,83,imas
大和亜季,21,165,51,92,60,85,imas
結城晴,12,140,37,74,55,78,imas
遊佐こずえ,11,130,28,62,50,65,imas
依田芳乃,16,151,40,73,53,73,imas
ライラ,16,150,40,75,54,78,imas
